region_name,year,vehicle_std,activity_km,share_activity,co2e_tonnes
South West,2015,motorcycle,589501242.0,0.0110364567640855,51697.785170295
East Midlands,2015,motorcycle,341662882.0,0.0077411968043406,29962.980594195
Scotland,2015,motorcycle,284692246.0,0.0063204078788939,24966.798243585
Wales,2015,motorcycle,222571722.0,0.0077445150018479,19518.983590095
North West,2015,motorcycle,355181338.0,0.0062986418107667,31148.515389254997
London,2015,motorcycle,670129176.0,0.0211906240140049,58768.65341226
East of England,2015,motorcycle,470249148.0,0.0081288373425768,41239.67465673
Yorkshire and the Humber,2015,motorcycle,332650578.0,0.00762272138898,29172.624064154996
South East,2015,motorcycle,731123162.0,0.0085171402056637,64117.673499495
West Midlands,2015,motorcycle,316879046.0,0.0063037249283667,27789.500136585
North East,2015,motorcycle,106538308.0,0.0057067489633888,9343.143265829998
South West,2016,motorcycle,602054094.0,0.0108943501393463,52798.638908565
East Midlands,2016,motorcycle,311729158.0,0.0068712309329549,27337.867833705
Scotland,2016,motorcycle,266345770.0,0.0057214368930696,23357.858164575
Wales,2016,motorcycle,219996778.0,0.0073632387477646,19293.167438655
North West,2016,motorcycle,345686232.0,0.006093029324831,30315.81833082
London,2016,motorcycle,762183424.0,0.0235821341433052,66841.58082624
East of England,2016,motorcycle,457374428.0,0.0077661519291044,40110.59389953
Yorkshire and the Humber,2016,motorcycle,316718112.0,0.0070219256774838,27775.38662712
South East,2016,motorcycle,754136724.0,0.0086323460601795,66135.90535299
West Midlands,2016,motorcycle,316879046.0,0.0061730330315266,27789.500136585
North East,2016,motorcycle,103158694.0,0.005447298870599,9046.759567065
South West,2017,motorcycle,546049062.0,0.0096109450904301,47887.137614745
East Midlands,2017,motorcycle,305613666.0,0.0066246651038178,26801.554474034998
Scotland,2017,motorcycle,279864226.0,0.0058608626488807,24543.392959635
Wales,2017,motorcycle,228204412.0,0.0076055008474394,20012.95642137
North West,2017,motorcycle,356951612.0,0.0062661385556804,31303.76399337
London,2017,motorcycle,754458592.0,0.0233752505559599,66164.13237192
East of England,2017,motorcycle,503401552.0,0.0082568710471021,44147.05760652
Yorkshire and the Humber,2017,motorcycle,316074376.0,0.0069945759983475,27718.93258926
South East,2017,motorcycle,721467122.0,0.008208367664561,63270.862931594995
West Midlands,2017,motorcycle,286140652.0,0.0055218763199085,25093.81982877
North East,2017,motorcycle,118769292.0,0.0061549752716779,10415.76998517
South West,2018,motorcycle,515310668.0,0.0090771215149324,45191.457306929995
East Midlands,2018,motorcycle,338605136.0,0.0072758710123627,29694.823914359997
Scotland,2018,motorcycle,282439170.0,0.0058994174535357,24769.209111075
Wales,2018,motorcycle,263448958.0,0.0086482431440088,23103.814994204997
North West,2018,motorcycle,336834862.0,0.0058404141029397,29539.575310245
London,2018,motorcycle,745768156.0,0.0231782282710362,65402.00286081
East of England,2018,motorcycle,470892884.0,0.0077312709564739,41296.12869459
Yorkshire and the Humber,2018,motorcycle,300463778.0,0.0065335232382758,26349.922171154998
South East,2018,motorcycle,708109600.0,0.008075142874971,62099.441646
West Midlands,2018,motorcycle,293543616.0,0.0056346730097927,25743.04126416
North East,2018,motorcycle,118769292.0,0.0060331085223789,10415.76998517
South West,2019,motorcycle,517402810.0,0.0089222281426224,45374.932929974995
East Midlands,2019,motorcycle,311085422.0,0.0065550310626407,27281.413795844997
Scotland,2019,motorcycle,291451474.0,0.0060283074137196,25559.565641114998
Wales,2019,motorcycle,214685956.0,0.006991174559252,18827.42162631
North West,2019,motorcycle,316235310.0,0.0053716116475129,27733.046098724997
London,2019,motorcycle,793726488.0,0.0243383684607906,69607.82868138001
East of England,2019,motorcycle,459305636.0,0.0075175096866299,40279.95601310999
Yorkshire and the Humber,2019,motorcycle,293704550.0,0.0063027531807318,25757.154773624996
South East,2019,motorcycle,719374980.0,0.0081438862552334,63087.38730855
West Midlands,2019,motorcycle,271012856.0,0.005165961101908,23767.14993906
North East,2019,motorcycle,108308582.0,0.0052994212370565,9498.391869944999
South West,2020,motorcycle,397346046.0,0.008870223138744,34846.254869085
East Midlands,2020,motorcycle,246389954.0,0.0065523395404374,21607.782990915
Scotland,2020,motorcycle,219192108.0,0.0058786714720417,19222.59989133
Wales,2020,motorcycle,179119542.0,0.0076373592440867,15708.336034544998
North West,2020,motorcycle,247838360.0,0.0052879712389304,21734.8045761
London,2020,motorcycle,745929090.0,0.0278988298743198,65416.116370275
East of England,2020,motorcycle,360009358.0,0.0073635424004424,31571.920673205
Yorkshire and the Humber,2020,motorcycle,235768310.0,0.0063355734883278,20676.291366225
South East,2020,motorcycle,560854990.0,0.0082157161817783,49185.580485524995
West Midlands,2020,motorcycle,208248596.0,0.0051300348874088,18262.88124771
North East,2020,motorcycle,80949802.0,0.0049951835705135,7099.095260895
South West,2021,motorcycle,460914976.0,0.0090606245630241,40421.091107759996
East Midlands,2021,motorcycle,299498174.0,0.0070857717246867,26265.241114365
Scotland,2021,motorcycle,243332208.0,0.0056621791150972,21339.626311080003
Wales,2021,motorcycle,198753490.0,0.0074911592189784,17430.184189275
North West,2021,motorcycle,272944064.0,0.0052190075269412,23936.51205264
London,2021,motorcycle,977834984.0,0.0329263600548411,85753.68350934
East of England,2021,motorcycle,418589334.0,0.0077117392773913,36709.238118465
Yorkshire and the Humber,2021,motorcycle,253631984.0,0.0062055062055062,22242.89091684
South East,2021,motorcycle,607203982.0,0.0080438842601673,53250.271211445
West Midlands,2021,motorcycle,239630726.0,0.0052612981873432,21015.015593385
North East,2021,motorcycle,100422816.0,0.0055638279849847,8806.82990616
South West,2022,motorcycle,511126384.0,0.009377085190937,44824.506060839994
East Midlands,2022,motorcycle,322189868.0,0.0069608876000931,28255.245948929998
Scotland,2022,motorcycle,271817526.0,0.0057886078552333,23837.717486384998
Wales,2022,motorcycle,219513976.0,0.0075136612021857,19250.82691026
North West,2022,motorcycle,299498174.0,0.0052985525072032,26265.241114365
London,2022,motorcycle,1129112944.0,0.0367533814577723,99020.38240644001
East of England,2022,motorcycle,480709858.0,0.0080573808521887,42157.052771955
Yorkshire and the Humber,2022,motorcycle,270530054.0,0.0061632886516293,23724.809410665
South East,2022,motorcycle,677532140.0,0.0081557377843127,59417.87484765
West Midlands,2022,motorcycle,277933018.0,0.0055249502530535,24374.030846055
North East,2022,motorcycle,106538308.0,0.0053915380543225,9343.143265829998
South West,2023,motorcycle,513379460.0,0.0091974570040509,45022.095193350004
East Midlands,2023,motorcycle,314304102.0,0.0066490765171503,27563.683985145
Scotland,2023,motorcycle,272622196.0,0.0056774764388079,23908.28503371
Wales,2023,motorcycle,208570464.0,0.007005746225492,18291.10826664
North West,2023,motorcycle,285818784.0,0.0049448025280859,25065.59280984
London,2023,motorcycle,1194291214.0,0.0386578873342154,104736.353739765
East of England,2023,motorcycle,481836396.0,0.0078994860321045,42255.84733821
Yorkshire and the Humber,2023,motorcycle,254919456.0,0.0056817366601144,22355.798992559998
South East,2023,motorcycle,689924058.0,0.0081157675335222,60504.615076455
West Midlands,2023,motorcycle,268598846.0,0.0052122858793585,23555.447297084997
North East,2023,motorcycle,103319628.0,0.0050681276347158,9060.87307653
South West,2024,motorcycle,521908962.0,0.0092314524094859,45770.111194995
East Midlands,2024,motorcycle,315108772.0,0.0065709769545971,27634.25153247
Scotland,2024,motorcycle,275679942.0,0.0056341641505338,24176.441713545
Wales,2024,motorcycle,213076616.0,0.0070601660525459,18686.286531659996
North West,2024,motorcycle,289037464.0,0.0048822390883587,25347.862999139998
London,2024,motorcycle,1312094902.0,0.0419554869419786,115067.442668145
East of England,2024,motorcycle,485376944.0,0.0078784585806235,42566.34454644
Yorkshire and the Humber,2024,motorcycle,255402258.0,0.0056230733798674,22398.139520955
South East,2024,motorcycle,704569052.0,0.0081677580642152,61788.94443777
West Midlands,2024,motorcycle,271012856.0,0.0051426756571875,23767.14993906
North East,2024,motorcycle,106377374.0,0.0050759082496947,9329.029756365
South West,2015,car,41990738346.0,0.7861373907803555,7008674.13733086
East Midlands,2015,car,33860835468.0,0.7671989119297568,5651712.047963881
Scotland,2015,car,34595821046.0,0.7680563941876543,5774388.49078786
Wales,2015,car,22706660862.0,0.7900917246245338,3789968.76447642
North West,2015,car,44479099854.0,0.788774319121672,7424006.5566311395
London,2015,car,24795262314.0,0.7840683555383661,4138577.2328297403
East of England,2015,car,44699579434.0,0.7726874403620977,7460806.803328941
Yorkshire and the Humber,2015,car,33344720130.0,0.7640976091870941,5565567.2368983
South East,2015,car,68188540470.0,0.7943550276999222,11381349.2898477
West Midlands,2015,car,39250676062.0,0.7808199004338012,6551330.34150842
North East,2015,car,14923409820.0,0.7993758782100463,2490866.3330562
South West,2016,car,43255518652.0,0.7827216363948758,7219778.61820532
East Midlands,2016,car,34826761336.0,0.7676622915927634,5812934.73459176
Scotland,2016,car,35488039142.0,0.7623270172818508,5923308.61319122
Wales,2016,car,23547541012.0,0.788130480684291,3930320.07031292
North West,2016,car,44619112434.0,0.7864518032303267,7447376.05635894
London,2016,car,24818275876.0,0.7678832843698651,4142418.42646316
East of England,2016,car,45323198684.0,0.7695813874686771,7564895.09234644
Yorkshire and the Humber,2016,car,34412356286.0,0.7629529195582752,5743766.387696261
South East,2016,car,69020086448.0,0.7900494066413432,11520142.629035681
West Midlands,2016,car,39761963380.0,0.7745918085826792,6636669.3077558
North East,2016,car,15026407580.0,0.7934700398562117,2508057.6891778
South West,2017,car,44530437800.0,0.783774979817865,7432575.373198
East Midlands,2017,car,35409825218.0,0.7675646070551463,5910253.92713638
Scotland,2017,car,36075770110.0,0.7554918204061823,6021406.789060101
Wales,2017,car,23482201808.0,0.7826049644933599,3919414.3037732802
North West,2017,car,44857616622.0,0.7874569873942695,7487184.79037802
London,2017,car,24780295452.0,0.7677632956709913,4136079.11389332
East of England,2017,car,46753741010.0,0.7668621778289286,7803666.911979101
Yorkshire and the Humber,2017,car,34446796162.0,0.76229125784842,5749514.74739942
South East,2017,car,69443503802.0,0.7900814794470383,11590815.21959182
West Midlands,2017,car,40124869550.0,0.7743204800119258,6697241.9765905
North East,2017,car,15221781456.0,0.788837643762041,2540667.54282096
South West,2018,car,44534461150.0,0.7844679735226999,7433246.9105465
East Midlands,2018,car,35680838074.0,0.7667018241549235,5955488.68293134
Scotland,2018,car,36298502766.0,0.7581810297592836,6058583.09667306
Wales,2018,car,23755628674.0,0.7798264011791618,3965051.9819773403
North West,2018,car,45481235872.0,0.788603797803915,7591273.0793955205
London,2018,car,24719945202.0,0.7682877421484627,4126006.05366582
East of England,2018,car,46566735702.0,0.764547657234657,7772453.856020819
Yorkshire and the Humber,2018,car,35246799076.0,0.7664344180545009,5883043.23377516
South East,2018,car,69016384966.0,0.7870493060882907,11519524.814675061
West Midlands,2018,car,40190369688.0,0.7714682895183961,6708174.60462408
North East,2018,car,15525142046.0,0.7886286531780095,2591301.4588978603
South West,2019,car,45540781452.0,0.7853170374317304,7601211.83215332
East Midlands,2019,car,36463460116.0,0.7683391660562654,6086116.12796156
Scotland,2019,car,36677341402.0,0.758624707072859,6121815.05340782
Wales,2019,car,24039194382.0,0.7828281240173574,4012381.9342996203
North West,2019,car,46471945576.0,0.7893781505254065,7756632.43609016
London,2019,car,25152213926.0,0.7712528930187571,4198156.02638866
East of England,2019,car,46692907958.0,0.7642283489662766,7793513.26726978
Yorkshire and the Humber,2019,car,35592163440.0,0.7637900786031027,5940687.9997704
South East,2019,car,69540386070.0,0.7872514474983512,11606985.838943701
West Midlands,2019,car,40648870654.0,0.7748358795018099,6784703.00085914
North East,2019,car,16255621472.0,0.7953698964526162,2713225.77989152
South West,2020,car,33732892938.0,0.7530420661979471,5630357.16028158
East Midlands,2020,car,27563005246.0,0.7329932336715784,4600541.205609861
Scotland,2020,car,27032244914.0,0.7249973023717547,4511951.998595741
Wales,2020,car,17649309912.0,0.7525372089672067,2945846.31741192
North West,2020,car,35305539986.0,0.75329210547099,5892847.67906326
London,2020,car,20041915690.0,0.7495967159435644,3345196.1478179004
East of England,2020,car,35477578432.0,0.725649617833137,5921562.6160851205
Yorkshire and the Humber,2020,car,27171935626.0,0.7301651141268153,4535267.77533566
South East,2020,car,51265042898.0,0.750958893129681,8556648.31010518
West Midlands,2020,car,29968485744.0,0.7382492863939105,5002039.95553104
North East,2020,car,12354098510.0,0.762336514493977,2062022.5823041
South West,2021,car,38484952090.0,0.7565336783794643,6423523.3533419
East Midlands,2021,car,30943102048.0,0.7320771096447977,5164713.16283168
Scotland,2021,car,31063319746.0,0.722822850937143,5184778.69880486
Wales,2021,car,19928457220.0,0.75111760816688,3326258.7945902
North West,2021,car,39621950800.0,0.7576177200076316,6613299.8080279995
London,2021,car,22504044956.0,0.7577723225656116,3756150.14360596
East of England,2021,car,39584614112.0,0.7292737741566304,6607067.94143392
Yorkshire and the Humber,2021,car,29828473164.0,0.7298006048006048,4978670.45580324
South East,2021,car,56785400966.0,0.7522598773696733,9478051.27523506
West Midlands,2021,car,33655644618.0,0.7389385534080067,5617463.64319038
North East,2021,car,13842416142.0,0.7669255392187458,2310437.67826122
South West,2022,car,41540927816.0,0.7621066554865987,6933596.261768561
East Midlands,2022,car,34464177034.0,0.7445959242994781,5752415.7887449395
Scotland,2022,car,34375019598.0,0.7320481184454041,5737534.521102181
Wales,2022,car,22238342922.0,0.7611878635642517,3711801.81711102
North West,2022,car,43310558080.0,0.7662259273178676,7228965.2491328
London,2022,car,23270251730.0,0.7574622565402789,3884037.7162543
East of England,2022,car,44214685292.0,0.7411010045425609,7379873.12208772
Yorkshire and the Humber,2022,car,32660428762.0,0.7440786965066143,5451352.164665421
South East,2022,car,63279087866.0,0.7617168506066435,10561912.55571406
West Midlands,2022,car,37936328084.0,0.7541253175166837,6331952.520500439
North East,2022,car,15379496776.0,0.778303538705868,2566991.8068821603
South West,2023,car,42760968470.0,0.7660847376994825,7137233.247327699
East Midlands,2023,car,35500109192.0,0.7510017873861605,5925323.22523672
Scotland,2023,car,35372166662.0,0.7366408376121084,5903968.33755442
Wales,2023,car,22955303892.0,0.7710537269380673,3831469.77261372
North West,2023,car,44616859358.0,0.7718931410354573,7446999.99544378
London,2023,car,23481879940.0,0.7600825146119625,3919360.5807854
East of England,2023,car,45529355138.0,0.7464328306227771,7599304.66608358
Yorkshire and the Humber,2023,car,33646954182.0,0.7499354348106805,5616013.12251762
South East,2023,car,65328904224.0,0.7684819709558887,10904047.40402784
West Midlands,2023,car,39248101118.0,0.7616277072500429,6550900.55760538
North East,2023,car,15986057022.0,0.7841624958555031,2668232.7775420197
South West,2024,car,43410176226.0,0.7678330994395088,7245592.51388166
East Midlands,2024,car,36115842676.0,0.753125241209892,6028095.30105116
Scotland,2024,car,36111336524.0,0.7380195896565561,6027343.17922084
Wales,2024,car,23326256762.0,0.7729015469442385,3893385.5161454203
North West,2024,car,46009582194.0,0.7771649305178,7679459.36400054
London,2024,car,23700589246.0,0.7578489643638235,3955865.35104986
East of England,2024,car,46223302546.0,0.7502795076485831,7715131.42795286
Yorkshire and the Humber,2024,car,34122192284.0,0.7512525245367254,5695335.11412244
South East,2024,car,66519011154.0,0.7711255387026361,11102688.15171414
West Midlands,2024,car,40189565018.0,0.762627650737809,6708040.29715438
North East,2024,car,16471916768.0,0.7859748277953972,2749327.62774688
South West,2015,bus,404427142.0,0.0075715576981018,213886.34938597502
East Midlands,2015,bus,296279494.0,0.0067129266682953,156691.11389557502
Scotland,2015,bus,586604430.0,0.0130231128991342,310233.085360875
Wales,2015,bus,240918198.0,0.0083828915095924,127412.600489775
North West,2015,bus,462524316.0,0.0082022186516283,244611.76607055
London,2015,bus,552164554.0,0.0174603820826251,292019.126439825
East of England,2015,bus,371435672.0,0.0064207243623091,196438.39808309998
Yorkshire and the Humber,2015,bus,358400018.0,0.0082127723915135,189544.329519525
South East,2015,bus,488434690.0,0.0056899670975543,258314.791240125
West Midlands,2015,bus,401852198.0,0.0079941092666997,212524.55806477502
North East,2015,bus,219031174.0,0.0117324551951242,115837.37425957501
South West,2016,bus,379804240.0,0.006872672100737,200864.219877
East Midlands,2016,bus,352284526.0,0.0077651649521106,186310.075131675
Scotland,2016,bus,514184130.0,0.0110453117059561,271932.704452125
Wales,2016,bus,208570464.0,0.0069808027923211,110305.09701720001
North West,2016,bus,436453008.0,0.0076928750134738,230823.6289434
London,2016,bus,523679236.0,0.0162027585520091,276954.30994905
East of England,2016,bus,357434414.0,0.0060691848819637,189033.657774075
Yorkshire and the Humber,2016,bus,332972446.0,0.007382298895688,176096.640222675
South East,2016,bus,467030468.0,0.0053459385972345,246994.90088265002
West Midlands,2016,bus,423578288.0,0.0082516114469163,224014.67233740003
North East,2016,bus,207926728.0,0.0109795790028298,109964.6491869
South West,2017,bus,367895124.0,0.0064752786550908,194565.93501645
East Midlands,2017,bus,371596606.0,0.0080549508818932,196523.51004067503
Scotland,2017,bus,524644840.0,0.0109870110611565,277464.9816945
Wales,2017,bus,200040962.0,0.0066668812082984,105794.163265725
North West,2017,bus,335064588.0,0.0058819208624557,177203.09567115
London,2017,bus,506620232.0,0.0156965206378332,267932.4424461
East of England,2017,bus,342789420.0,0.0056224857194142,181288.46963475
Yorkshire and the Humber,2017,bus,332328710.0,0.0073542766988735,175756.192392375
South East,2017,bus,444016906.0,0.0050517257163782,234823.89094942503
West Midlands,2017,bus,398311650.0,0.007686526373326,210652.09499812502
North East,2017,bus,248160228.0,0.0128603954863514,131242.63858065
South West,2018,bus,355342272.0,0.0062593017816898,187927.2023256
East Midlands,2018,bus,362906170.0,0.0077980461658165,191927.464331625
Scotland,2018,bus,466386732.0,0.0097416021540437,246654.45305235003
Wales,2018,bus,196339480.0,0.0064452392398844,103836.58824150001
North West,2018,bus,319453990.0,0.0055390453866867,168947.235786375
London,2018,bus,501148476.0,0.015575529312906,265038.63588855
East of England,2018,bus,334581786.0,0.0054932714690735,176947.75979842502
Yorkshire and the Humber,2018,bus,326856954.0,0.007107437438103,172862.38583482502
South East,2018,bus,433556196.0,0.0049441897511754,229291.61370704998
West Midlands,2018,bus,366929520.0,0.0070433412622408,194055.263271
North East,2018,bus,243171274.0,0.0123523400776619,128604.167895825
South West,2019,bus,354376668.0,0.0061109631011056,187416.53058015002
East Midlands,2019,bus,359848424.0,0.0075825398117251,190310.3371377
Scotland,2019,bus,514184130.0,0.010635252449936,271932.704452125
Wales,2019,bus,185235034.0,0.006032115380584,97963.863168825
North West,2019,bus,320258660.0,0.0054399527626212,169372.79557425002
London,2019,bus,451098002.0,0.0138322073794801,238568.81708272503
