year,region_id,region_name,region_ons_code,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,LGVs,all_HGVs,all_motor_vehicles
2015,1,South West,E12000009,50093.85,31126.88,313900000.0,366300000.0,26091900000.0,251300000.0,5075200000.0,1405300000.0,33190000000.0
2015,2,East Midlands,E12000004,31483.29,19562.81,268800000.0,212300000.0,21040200000.0,184100000.0,4087100000.0,1901000000.0,27424600000.0
2015,3,Scotland,S92000003,59345.13,36875.35,205700000.0,176900000.0,21496900000.0,364500000.0,4390400000.0,1560000000.0,27988600000.0
2015,4,Wales,W92000004,33881.01,21052.68,119400000.0,138300000.0,14109300000.0,149700000.0,2774300000.0,686200000.0,17857900000.0
2015,5,North West,E12000002,37031.76,23010.47,317600000.0,220700000.0,27638100000.0,287400000.0,4997700000.0,1895400000.0,35039400000.0
2015,6,London,E12000007,14796.15,9193.9,408500000.0,416400000.0,15407100000.0,343100000.0,2820200000.0,663400000.0,19650200000.0
2015,7,East of England,E12000006,39881.6,24781.28,492800000.0,292200000.0,27775100000.0,230800000.0,5596700000.0,2051300000.0,35946100000.0
2015,8,Yorkshire and the Humber,E12000003,32017.97,19895.04,300400000.0,206700000.0,20719500000.0,222700000.0,4176500000.0,1790900000.0,27116200000.0
2015,9,South East,E12000008,47896.88,29761.74,568700000.0,454300000.0,42370500000.0,303500000.0,7775400000.0,2435800000.0,53339600000.0
2015,10,West Midlands,E12000005,33009.13,20510.92,259900000.0,196900000.0,24389300000.0,249700000.0,4460000000.0,1939600000.0,31235400000.0
2015,11,North East,E12000001,16266.41,10107.48,112800000.0,66200000.0,9273000000.0,136100000.0,1681300000.0,443700000.0,11600400000.0
2016,1,South West,E12000009,50271.54,31237.29,309300000.0,374100000.0,26877800000.0,236000000.0,5440500000.0,1410500000.0,34338900000.0
2016,2,East Midlands,E12000004,31618.53,19646.84,271500000.0,193700000.0,21640400000.0,218900000.0,4181600000.0,1955400000.0,28190000000.0
2016,3,Scotland,S92000003,59365.02,36887.71,180400000.0,165500000.0,22051300000.0,319500000.0,4797900000.0,1592100000.0,28926200000.0
2016,4,Wales,W92000004,33925.89,21080.57,115500000.0,136700000.0,14631800000.0,129600000.0,2975600000.0,691500000.0,18565300000.0
2016,5,North West,E12000002,37113.04,23060.97,285300000.0,214800000.0,27725100000.0,271200000.0,5139200000.0,1903100000.0,35253400000.0
2016,6,London,E12000007,14833.53,9217.13,506300000.0,473600000.0,15421400000.0,325400000.0,3224400000.0,638200000.0,20083000000.0
2016,7,East of England,E12000006,40013.08,24862.98,506400000.0,284200000.0,28162600000.0,222100000.0,5830600000.0,2095200000.0,36594800000.0
2016,8,Yorkshire and the Humber,E12000003,32079.67,19933.38,258900000.0,196800000.0,21382900000.0,206900000.0,4443600000.0,1796300000.0,28026500000.0
2016,9,South East,E12000008,48069.47,29868.98,563100000.0,468600000.0,42887200000.0,290200000.0,8195800000.0,2442400000.0,54284200000.0
2016,10,West Midlands,E12000005,33144.01,20594.73,253700000.0,196900000.0,24707000000.0,263200000.0,4769400000.0,1960300000.0,31896700000.0
2016,11,North East,E12000001,16285.23,10119.17,112000000.0,64100000.0,9337000000.0,129200000.0,1790400000.0,446600000.0,11767200000.0
2017,1,South West,E12000009,50356.39,31290.01,333100000.0,339300000.0,27670000000.0,228600000.0,5633700000.0,1431900000.0,35303500000.0
2017,2,East Midlands,E12000004,31689.25,19690.79,279800000.0,189900000.0,22002700000.0,230900000.0,4267500000.0,1974600000.0,28665500000.0
2017,3,Scotland,S92000003,59285.4,36838.24,182500000.0,173900000.0,22416500000.0,326000000.0,5130700000.0,1624300000.0,29671400000.0
2017,4,Wales,W92000004,33859.42,21039.27,111500000.0,141800000.0,14591200000.0,124300000.0,3083300000.0,703800000.0,18644400000.0
2017,5,North West,E12000002,37147.11,23082.14,293300000.0,221800000.0,27873300000.0,208200000.0,5178900000.0,1914400000.0,35396500000.0
2017,6,London,E12000007,14842.02,9222.4,500500000.0,468800000.0,15397800000.0,314800000.0,3268100000.0,605900000.0,20055400000.0
2017,7,East of England,E12000006,40051.59,24886.9,525300000.0,312800000.0,29051500000.0,213000000.0,6162100000.0,2144200000.0,37883600000.0
2017,8,Yorkshire and the Humber,E12000003,32098.99,19945.39,309200000.0,196400000.0,21404300000.0,206500000.0,4456600000.0,1815100000.0,28078900000.0
2017,9,South East,E12000008,48179.08,29937.09,596400000.0,448300000.0,43150300000.0,275900000.0,8278700000.0,2461800000.0,54615000000.0
2017,10,West Midlands,E12000005,33195.8,20626.91,218200000.0,177800000.0,24932500000.0,247500000.0,4843200000.0,1998200000.0,32199200000.0
2017,11,North East,E12000001,16334.04,10149.5,114200000.0,73800000.0,9458400000.0,154200000.0,1847500000.0,456400000.0,11990300000.0
2018,1,South West,E12000009,50315.5,31264.6,357800000.0,320200000.0,27672500000.0,220800000.0,5627100000.0,1434900000.0,35275400000.0
2018,2,East Midlands,E12000004,31706.84,19701.72,270000000.0,210400000.0,22171100000.0,225500000.0,4318800000.0,1991700000.0,28917600000.0
2018,3,Scotland,S92000003,59300.67,36847.73,193200000.0,175500000.0,22554900000.0,289800000.0,5106700000.0,1621800000.0,29748600000.0
2018,4,Wales,W92000004,33828.94,21020.33,116300000.0,163700000.0,14761100000.0,122000000.0,3179300000.0,702600000.0,18928600000.0
2018,5,North West,E12000002,37213.98,23123.7,319300000.0,209300000.0,28260800000.0,198500000.0,5264400000.0,1903500000.0,35836500000.0
2018,6,London,E12000007,14807.73,9201.1,518000000.0,463400000.0,15360300000.0,311400000.0,3259900000.0,597900000.0,19992900000.0
2018,7,East of England,E12000006,40003.13,24856.79,493500000.0,292600000.0,28935300000.0,207900000.0,6226400000.0,2184100000.0,37846200000.0
2018,8,Yorkshire and the Humber,E12000003,32011.3,19890.9,311000000.0,186700000.0,21901400000.0,203100000.0,4459900000.0,1824600000.0,28575600000.0
2018,9,South East,E12000008,48243.35,29977.03,606800000.0,440000000.0,42884900000.0,269400000.0,8427000000.0,2466900000.0,54488100000.0
2018,10,West Midlands,E12000005,33224.12,20644.51,228600000.0,182400000.0,24973200000.0,228000000.0,4985200000.0,2002200000.0,32371000000.0
2018,11,North East,E12000001,16365.08,10168.79,105200000.0,73800000.0,9646900000.0,151100000.0,1902100000.0,458600000.0,12232400000.0
2019,1,South West,E12000009,50373.75,31300.8,363700000.0,321500000.0,28297800000.0,220200000.0,5737600000.0,1456500000.0,36033500000.0
2019,2,East Midlands,E12000004,31780.01,19747.18,287200000.0,193300000.0,22657400000.0,223600000.0,4409200000.0,2005300000.0,29488800000.0
2019,3,Scotland,S92000003,59353.24,36880.39,227000000.0,181100000.0,22790300000.0,319500000.0,5143100000.0,1607600000.0,30041600000.0
2019,4,Wales,W92000004,33838.07,21026.0,128400000.0,133400000.0,14937300000.0,115100000.0,3194400000.0,701000000.0,19081200000.0
2019,5,North West,E12000002,37287.65,23169.47,335700000.0,196500000.0,28876400000.0,199000000.0,5414200000.0,1895100000.0,36581200000.0
2019,6,London,E12000007,14814.85,9205.52,467800000.0,493200000.0,15628900000.0,280300000.0,3264400000.0,597500000.0,20264400000.0
2019,7,East of England,E12000006,40047.79,24884.54,528000000.0,285400000.0,29013700000.0,206800000.0,6289400000.0,2169400000.0,37964800000.0
2019,8,Yorkshire and the Humber,E12000003,32020.04,19896.33,333900000.0,182500000.0,22116000000.0,191800000.0,4576100000.0,1889200000.0,28955600000.0
2019,9,South East,E12000008,48384.89,30064.98,623000000.0,447000000.0,43210500000.0,270000000.0,8513800000.0,2446500000.0,54887700000.0
2019,10,West Midlands,E12000005,33293.49,20687.62,229800000.0,168400000.0,25258100000.0,176400000.0,4996000000.0,1999100000.0,32597900000.0
2019,11,North East,E12000001,16401.99,10191.72,103800000.0,67300000.0,10100800000.0,153100000.0,1933100000.0,445200000.0,12699500000.0
2020,1,South West,E12000009,50507.88,31384.14,482200000.0,246900000.0,20960700000.0,143800000.0,5157800000.0,1325500000.0,27834700000.0
2020,2,East Midlands,E12000004,31876.11,19806.9,411200000.0,153100000.0,17126900000.0,187500000.0,4018900000.0,1879300000.0,23365700000.0
2020,3,Scotland,S92000003,59273.91,36831.1,370700000.0,136200000.0,16797100000.0,234600000.0,4596700000.0,1403900000.0,23168500000.0
2020,4,Wales,W92000004,33851.07,21034.08,210000000.0,111300000.0,10966800000.0,74300000.0,2782800000.0,637900000.0,14573100000.0
2020,5,North West,E12000002,37350.8,23208.71,437800000.0,154000000.0,21937900000.0,129300000.0,5066400000.0,1835100000.0,29122800000.0
2020,6,London,E12000007,14806.32,9200.22,697700000.0,463500000.0,12453500000.0,226100000.0,2877500000.0,593000000.0,16613600000.0
2020,7,East of England,E12000006,40217.57,24990.04,708700000.0,223700000.0,22044800000.0,130200000.0,5873100000.0,2107600000.0,30379300000.0
2020,8,Yorkshire and the Humber,E12000003,32094.54,19942.62,539700000.0,146500000.0,16883900000.0,118600000.0,4162200000.0,1812200000.0,23123400000.0
2020,9,South East,E12000008,48547.77,30166.19,950600000.0,348500000.0,31854700000.0,162900000.0,7768700000.0,2283900000.0,42418700000.0
2020,10,West Midlands,E12000005,33396.05,20751.34,332100000.0,129400000.0,18621600000.0,92300000.0,4458700000.0,1922000000.0,25224000000.0
2020,11,North East,E12000001,16437.39,10213.72,158200000.0,50300000.0,7676500000.0,128500000.0,1811600000.0,402800000.0,10069800000.0
2021,1,South West,E12000009,50566.34,31420.47,385400000.0,286400000.0,23913500000.0,164100000.0,5794500000.0,1450800000.0,31609400000.0
2021,2,East Midlands,E12000004,31954.06,19855.33,331800000.0,186100000.0,19227200000.0,200700000.0,4576200000.0,2073700000.0,26263800000.0
2021,3,Scotland,S92000003,59262.26,36823.86,270300000.0,151200000.0,19301900000.0,263600000.0,5433600000.0,1553200000.0,26703400000.0
2021,4,Wales,W92000004,33830.95,21021.58,176800000.0,123500000.0,12383000000.0,91900000.0,3192200000.0,695500000.0,16486000000.0
2021,5,North West,E12000002,37404.06,23241.81,381000000.0,169600000.0,24620000000.0,140700000.0,5627800000.0,1938500000.0,32496600000.0
2021,6,London,E12000007,14808.32,9201.46,647200000.0,607600000.0,13983400000.0,239000000.0,2987800000.0,635500000.0,18453300000.0
2021,7,East of England,E12000006,40294.29,25037.71,523100000.0,260100000.0,24596800000.0,155200000.0,6551200000.0,2164500000.0,33727900000.0
2021,8,Yorkshire and the Humber,E12000003,32123.66,19960.72,377900000.0,157600000.0,18534600000.0,136800000.0,4611100000.0,1956700000.0,25396700000.0
2021,9,South East,E12000008,48679.55,30248.07,725400000.0,377300000.0,35284900000.0,184100000.0,8622100000.0,2436800000.0,46905200000.0
2021,10,West Midlands,E12000005,33454.46,20787.64,268700000.0,148900000.0,20912700000.0,110700000.0,4994600000.0,2134100000.0,28301000000.0
2021,11,North East,E12000001,16460.74,10228.23,111000000.0,62400000.0,8601300000.0,119600000.0,1985400000.0,446600000.0,11215300000.0
2022,1,South West,E12000009,49827.36,30961.29,344600000.0,317600000.0,25812400000.0,169800000.0,6156900000.0,1413100000.0,33869900000.0
2022,2,East Midlands,E12000004,31199.76,19386.63,294300000.0,200200000.0,21415100000.0,204800000.0,4875300000.0,2065300000.0,28760700000.0
2022,3,Scotland,S92000003,59408.67,36914.84,262300000.0,168900000.0,21359700000.0,293700000.0,5798900000.0,1556800000.0,29177900000.0
2022,4,Wales,W92000004,33882.79,21053.79,144200000.0,136400000.0,13818300000.0,110200000.0,3407400000.0,681300000.0,18153600000.0
2022,5,North West,E12000002,36819.54,22878.6,364100000.0,186100000.0,26912000000.0,156700000.0,5970400000.0,1897600000.0,35122700000.0
2022,6,London,E12000007,14812.69,9204.18,605800000.0,701600000.0,14459500000.0,247800000.0,3031900000.0,648600000.0,19089300000.0
2022,7,East of England,E12000006,39580.27,24594.04,507600000.0,298700000.0,27473800000.0,164700000.0,6946100000.0,2188300000.0,37071600000.0
2022,8,Yorkshire and the Humber,E12000003,31181.96,19375.57,364100000.0,168100000.0,20294300000.0,155500000.0,4731500000.0,1925000000.0,27274400000.0
2022,9,South East,E12000008,48219.05,29961.93,655500000.0,421000000.0,39319900000.0,198800000.0,9227100000.0,2453300000.0,51620200000.0
2022,10,West Midlands,E12000005,33194.78,20626.28,238000000.0,172700000.0,23572600000.0,120100000.0,5281500000.0,2111300000.0,31258200000.0
2022,11,North East,E12000001,16360.18,10165.74,117500000.0,66200000.0,9556400000.0,128900000.0,2086800000.0,440200000.0,12278500000.0
2023,1,South West,E12000009,49935.72,31028.62,317000000.0,319000000.0,26570500000.0,167300000.0,6239600000.0,1387100000.0,34683400000.0
2023,2,East Midlands,E12000004,31304.04,19451.43,268600000.0,195300000.0,22058800000.0,197100000.0,4905200000.0,2016100000.0,29372600000.0
2023,3,Scotland,S92000003,59530.49,36990.53,250300000.0,169400000.0,21979300000.0,281800000.0,5896100000.0,1510600000.0,29837200000.0
2023,4,Wales,W92000004,33917.57,21075.4,119800000.0,129600000.0,14263800000.0,109500000.0,3339800000.0,656400000.0,18499100000.0
2023,5,North West,E12000002,36920.3,22941.21,325500000.0,177600000.0,27723700000.0,154500000.0,6021400000.0,1839300000.0,35916400000.0
2023,6,London,E12000007,14817.39,9207.1,627800000.0,742100000.0,14591000000.0,253000000.0,2989500000.0,621000000.0,19196700000.0
2023,7,East of England,E12000006,39712.8,24676.39,451500000.0,299400000.0,28290700000.0,162000000.0,6990700000.0,2158400000.0,37901200000.0
2023,8,Yorkshire and the Humber,E12000003,31259.81,19423.95,325200000.0,158400000.0,20907300000.0,151700000.0,4785700000.0,1875700000.0,27878900000.0
2023,9,South East,E12000008,48374.07,30058.25,603200000.0,428700000.0,40593600000.0,198700000.0,9206100000.0,2396000000.0,52823100000.0
2023,10,West Midlands,E12000005,33278.63,20678.38,217600000.0,166900000.0,24387700000.0,120800000.0,5290300000.0,2054800000.0,32020500000.0
2023,11,North East,E12000001,16403.7,10192.79,105700000.0,64200000.0,9933300000.0,122100000.0,2118900000.0,428900000.0,12667400000.0
2024,1,South West,E12000009,50059.59,31105.59,300000000.0,324300000.0,26973900000.0,170300000.0,6334700000.0,1326700000.0,35129900000.0
2024,2,East Midlands,E12000004,31461.4,19549.21,253600000.0,195800000.0,22441400000.0,197900000.0,4965700000.0,1996900000.0,29797700000.0
2024,3,Scotland,S92000003,59686.95,37087.75,237800000.0,171300000.0,22438600000.0,283600000.0,5992300000.0,1518000000.0,30403800000.0
2024,4,Wales,W92000004,33960.08,21101.82,113200000.0,132400000.0,14494300000.0,111600000.0,3351400000.0,663400000.0,18753000000.0
2024,5,North West,E12000002,37067.93,23032.94,309600000.0,179600000.0,28589100000.0,159800000.0,6030600000.0,1827300000.0,36786400000.0
2024,6,London,E12000007,14824.72,9211.65,697800000.0,815300000.0,14726900000.0,258100000.0,3072300000.0,559900000.0,19432600000.0
2024,7,East of England,E12000006,39882.5,24781.84,427000000.0,301600000.0,28721900000.0,163500000.0,6958200000.0,2136400000.0,38281600000.0
2024,8,Yorkshire and the Humber,E12000003,31344.67,19476.67,307800000.0,158700000.0,21202600000.0,153500000.0,4872200000.0,1836000000.0,28223000000.0
2024,9,South East,E12000008,48563.89,30176.2,571400000.0,437800000.0,41333100000.0,204100000.0,9305800000.0,2320200000.0,53600900000.0
2024,10,West Midlands,E12000005,33395.76,20751.16,206000000.0,168400000.0,24972700000.0,123000000.0,5480100000.0,2001400000.0,32745600000.0
2024,11,North East,E12000001,16484.55,10243.02,100600000.0,66100000.0,10235200000.0,125000000.0,2169800000.0,426200000.0,13022300000.0
